win%,k/d,dmg/rnd,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,rank_Ascendant,rank_Bronze,rank_Diamond,rank_Gold,rank_Immortal,rank_Iron,rank_Platinum,rank_Radiant,rank_Silver,rank_Unranked,performance,skill,consistency,dmg_indicator
39.4,0.41,0.3833333333333333,0.0814814814814814,0.471875,0.0642857142857142,0.056625,0.48,False,True,False,False,False,False,False,False,False,False,0.4901912202380952,0.42,0.4765625,0.4999
55.3,0.44,0.2666666666666666,0.04,0.553125,0.0385714285714285,0.025875,0.48,False,False,False,False,False,False,False,False,True,False,0.4754700089525515,0.64,0.4923903312444047,0.4733666666666666
56.5,0.58,0.5966666666666666,0.3244444444444444,0.584375,0.32,0.286625,0.64,False,False,False,True,False,False,False,False,False,False,0.5281066666666666,0.2855999999999999,0.48,0.5239666666666667
50.0,0.545,0.7566666666666667,0.2859259259259259,0.453125,0.2528571428571428,0.25575,0.64,False,False,False,True,False,False,False,False,False,False,0.5468828622358034,0.6048,0.4893048128342246,0.5274333333333333
30.8,0.395,0.315,0.017037037037037,0.340625,0.0128571428571428,0.0108333333333333,0.48,False,True,False,False,False,False,False,False,False,False,0.6476949669547534,0.4731999999999999,0.4839857651245551,0.6061333333333333
56.5,0.46,0.4283333333333334,0.3511111111111111,0.4,0.3485714285714286,0.2633333333333333,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.2333530377668308,0.3623999999999999,0.5011494252873563,0.296
57.1,0.705,0.7233333333333334,0.1007407407407407,0.85625,0.1014285714285714,0.091875,0.64,False,False,False,True,False,False,False,False,False,False,0.2310046082949308,0.3975999999999999,0.4731182795698925,0.3118
38.9,0.535,0.7400000000000001,0.1503703703703703,0.815625,0.12,0.129125,0.5599999999999999,False,False,True,False,False,False,False,False,False,False,0.5767791647403296,0.6496000000000001,0.5005393743257821,0.5365
41.7,0.465,0.4133333333333333,0.8355555555555556,0.315625,0.8142857142857143,0.6177083333333333,0.48,False,False,True,False,False,False,False,False,False,False,0.5977883597883599,0.544,0.5174603174603175,0.5331666666666667
59.1,0.59,0.6541666666666667,0.8311111111111111,0.403125,0.8214285714285714,0.7992916666666666,0.64,True,False,False,False,False,False,False,False,False,False,0.722368644427468,0.4128,0.5124777183600713,0.6234333333333333
