win%,k/d,dmg/rnd,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,rank_Ascendant,rank_Ascendant ,rank_Bronze,rank_Bronze ,rank_Diamond,rank_Diamond ,rank_Gold,rank_Gold ,rank_Immortal,rank_Immortal ,rank_Iron,rank_Iron ,rank_Platinum,rank_Platinum ,rank_Radiant,rank_Silver,rank_Silver ,rank_Unranked,performance,skill,consistency,dmg_indicator
55.6,0.465,0.4349999999999999,0.14,0.484375,0.1442857142857143,0.11375,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,
58.8,0.685,0.7900000000000001,0.2355555555555555,0.51875,0.2414285714285714,0.213,0.64,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4288332183114792,0.35,0.4685990338164251,0.4625666666666667
58.0,0.675,0.6900000000000001,0.1162962962962963,0.503125,0.11,0.1112916666666666,0.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5226930529787673,0.3583999999999999,0.5021645021645021,0.4970666666666666
58.3,0.455,0.3916666666666666,0.0474074074074074,0.271875,0.0471428571428571,0.0325,0.48,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3536133046183297,0.336,0.5376884422110553,0.3541666666666667
51.2,0.525,0.5299999999999999,0.96,0.484375,0.8785714285714286,0.816625,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6363850050658562,0.5291999999999999,0.4680851063829787,0.6182666666666666
51.1,0.65,0.6224999999999999,0.5762962962962963,0.665625,0.55,0.5338333333333334,0.64,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
46.4,0.415,0.2725,0.0688888888888888,0.44375,0.0628571428571428,0.051125,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,
51.2,0.5,0.6433333333333332,0.3214814814814815,0.375,0.3,0.3386666666666666,0.72,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4279476861167001,0.5024000000000001,0.4953051643192488,0.437
41.7,0.62,0.5683333333333332,0.1866666666666666,0.328125,0.17,0.1406666666666666,0.5599999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6012487254582927,0.308,0.4806378132118451,0.5765333333333333
43.8,0.515,0.7183333333333333,0.054074074074074,0.44375,0.0514285714285714,0.0554583333333333,0.72,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,
50.0,0.55,0.7866666666666667,0.1074074074074074,0.240625,0.0985714285714285,0.0911666666666666,0.64,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9264065133011457,0.7020000000000001,0.5009940357852882,0.7802666666666667
50.0,0.47,0.3691666666666666,0.3429629629629629,0.6375,0.3371428571428571,0.2682083333333333,0.5599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5504320021956909,0.3975999999999999,0.515850144092219,0.5027
56.5,0.595,0.5383333333333333,0.3007407407407407,0.596875,0.3028571428571429,0.2869583333333333,0.64,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3583726879181423,0.5319999999999999,0.5165289256198347,0.3718999999999999
54.3,0.47,0.4533333333333333,0.2348148148148148,0.4,0.24,0.176875,0.48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.435,0.3219999999999999,0.5,0.4378333333333333
53.0,0.555,0.4691666666666668,0.8792592592592593,0.809375,0.85,0.7992916666666666,0.64,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5425465201465202,0.6112000000000001,0.4923076923076923,0.5211333333333333
